INFO 2024-03-19 15:49:51,878 basehttp 10996 11068 "GET /salao/agenda/ HTTP/1.1" 200 19346
INFO 2024-03-19 15:49:54,080 basehttp 10996 11068 "GET /salao/funcionarios/ HTTP/1.1" 200 5012
INFO 2024-03-19 15:49:54,119 basehttp 10996 11068 "GET /static/salao/css/funcionarios/funcionarios.css HTTP/1.1" 304 0
INFO 2024-03-19 15:49:56,349 basehttp 10996 11068 "GET /salao/funcionarios/edita_funcionario/1/ HTTP/1.1" 200 12618
INFO 2024-03-19 15:49:59,790 basehttp 10996 11068 "GET /salao/agenda/deleta_agendamento/3/ HTTP/1.1" 302 0
INFO 2024-03-19 15:50:00,219 basehttp 10996 11068 "GET /salao/agenda/ HTTP/1.1" 200 19346
INFO 2024-03-19 15:50:07,448 basehttp 10996 11068 "GET /salao/agenda/deleta_agendamento/3/ HTTP/1.1" 302 0
INFO 2024-03-19 15:50:07,862 basehttp 10996 11068 "GET /salao/agenda/ HTTP/1.1" 200 19346
INFO 2024-03-19 15:51:19,596 basehttp 10996 11068 "GET /salao/agenda/deleta_agendamento/3/ HTTP/1.1" 302 0
INFO 2024-03-19 15:51:20,004 basehttp 10996 11068 "GET /salao/agenda/ HTTP/1.1" 200 19346
INFO 2024-03-19 15:51:23,166 basehttp 10996 11068 "GET /salao/agenda/ HTTP/1.1" 200 19346
INFO 2024-03-19 15:51:38,333 basehttp 10996 11068 "GET /admin/ HTTP/1.1" 200 9148
WARNING 2024-03-19 15:51:38,405 basehttp 10996 11068 "GET /static/admin/js/theme.js HTTP/1.1" 404 1810
WARNING 2024-03-19 15:51:38,405 basehttp 10996 9448 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 1828
INFO 2024-03-19 15:51:39,126 basehttp 10996 10832 "GET /admin/ HTTP/1.1" 200 9148
WARNING 2024-03-19 15:51:39,199 basehttp 10996 10832 "GET /static/admin/js/theme.js HTTP/1.1" 404 1810
WARNING 2024-03-19 15:51:39,199 basehttp 10996 10184 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 1828
WARNING 2024-03-19 15:51:39,297 basehttp 10996 4588 "GET /favicon.ico HTTP/1.1" 404 2224
INFO 2024-03-19 15:51:42,616 basehttp 10996 4588 "GET /admin/salao/agendamento/ HTTP/1.1" 200 11219
WARNING 2024-03-19 15:51:42,660 basehttp 10996 4588 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 404 1855
WARNING 2024-03-19 15:51:42,665 basehttp 10996 6780 "GET /static/admin/js/jquery.init.js HTTP/1.1" 404 1828
WARNING 2024-03-19 15:51:42,680 basehttp 10996 10708 "GET /static/admin/js/core.js HTTP/1.1" 404 1807
WARNING 2024-03-19 15:51:42,690 basehttp 10996 9748 "GET /static/admin/js/urlify.js HTTP/1.1" 404 1813
WARNING 2024-03-19 15:51:42,692 basehttp 10996 9916 "GET /static/admin/js/actions.js HTTP/1.1" 404 1816
WARNING 2024-03-19 15:51:42,696 basehttp 10996 10024 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 404 1861
WARNING 2024-03-19 15:51:42,707 basehttp 10996 11064 "GET /static/admin/js/prepopulate.js HTTP/1.1" 404 1828
WARNING 2024-03-19 15:51:42,713 basehttp 10996 6188 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 404 1873
WARNING 2024-03-19 15:51:42,716 basehttp 10996 9308 "GET /static/admin/js/theme.js HTTP/1.1" 404 1810
WARNING 2024-03-19 15:51:42,721 basehttp 10996 4260 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 1828
WARNING 2024-03-19 15:51:42,736 basehttp 10996 11620 "GET /static/admin/js/filters.js HTTP/1.1" 404 1816
ERROR 2024-03-19 15:51:43,069 basehttp 10996 10368 "GET /admin/jsi18n/ HTTP/1.1" 500 122900
